community_area,total_crimes
0.0,76
1.0,122662
2.0,102131
3.0,117614
4.0,57069
5.0,46236
6.0,163292
7.0,123010
8.0,284844
9.0,7938
10.0,34782
11.0,31537
12.0,14736
13.0,27015
14.0,71164
15.0,100030
16.0,88207
17.0,48948
18.0,19058
19.0,144298
20.0,47112
21.0,72972
22.0,162710
23.0,243259
24.0,231802
25.0,483746
26.0,145933
27.0,145514
28.0,247179
29.0,228957
30.0,132309
31.0,78946
32.0,203002
33.0,63014
34.0,30427
35.0,88429
36.0,19012
37.0,25782
38.0,109721
39.0,47385
40.0,82894
41.0,53336
42.0,125532
43.0,260359
44.0,174467
45.0,39900
46.0,143410
47.0,11576
48.0,43157
49.0,206692
50.0,32175
51.0,52736
52.0,39429
53.0,127191
54.0,35708
55.0,18136
56.0,65449
57.0,28896
58.0,75366
59.0,31934
60.0,50497
61.0,155789
62.0,30410
63.0,72118
64.0,31682
65.0,57977
66.0,189126
67.0,218114
68.0,201528
69.0,196512
70.0,71506
71.0,221645
72.0,28851
73.0,93965
74.0,17655
75.0,62728
76.0,48342
77.0,81252
