ward,total_crimes,total_arrests
1.0,150057,28177
2.0,266390,77002
3.0,237663,73984
4.0,166324,33765
5.0,188974,38721
6.0,264081,62122
7.0,215454,47611
8.0,219712,43599
9.0,207701,49616
10.0,137175,29738
11.0,106571,22149
12.0,95502,23738
13.0,95892,18463
14.0,107263,24673
15.0,196934,54260
16.0,228115,67905
17.0,260125,66506
18.0,129485,23066
19.0,70763,10229
20.0,258843,70385
21.0,239005,58138
22.0,92454,24348
23.0,98521,20577
24.0,306427,115017
25.0,116022,25015
26.0,133445,33542
27.0,303483,94355
28.0,360662,144280
29.0,181510,50137
30.0,105539,25513
31.0,107401,24451
32.0,128792,18342
33.0,79221,16244
34.0,220188,53618
35.0,103303,19548
36.0,87141,14512
37.0,213433,71046
38.0,80899,15346
39.0,74561,12939
40.0,84469,15375
41.0,84649,15722
42.0,323283,72357
43.0,97981,11286
44.0,112019,20341
45.0,81108,14769
46.0,108960,29952
47.0,81958,12070
48.0,82430,18331
49.0,115007,28472
50.0,81870,12556
