ward,crime_category,count
1.0,Property Crime,117372
1.0,Violent Crime,32685
2.0,Property Crime,203758
2.0,Violent Crime,62632
3.0,Property Crime,160285
3.0,Violent Crime,77378
4.0,Property Crime,117382
4.0,Violent Crime,48942
5.0,Property Crime,128524
5.0,Violent Crime,60450
6.0,Property Crime,174211
6.0,Violent Crime,89870
7.0,Property Crime,140170
7.0,Violent Crime,75284
8.0,Property Crime,144557
8.0,Violent Crime,75155
9.0,Property Crime,135576
9.0,Violent Crime,72125
10.0,Property Crime,93472
10.0,Violent Crime,43703
11.0,Property Crime,79009
11.0,Violent Crime,27562
12.0,Property Crime,67446
12.0,Violent Crime,28056
13.0,Property Crime,73614
13.0,Violent Crime,22278
14.0,Property Crime,78555
14.0,Violent Crime,28708
15.0,Property Crime,129414
15.0,Violent Crime,67520
16.0,Property Crime,148364
16.0,Violent Crime,79751
17.0,Property Crime,165809
17.0,Violent Crime,94316
18.0,Property Crime,91175
18.0,Violent Crime,38310
19.0,Property Crime,54278
19.0,Violent Crime,16485
20.0,Property Crime,166445
20.0,Violent Crime,92398
21.0,Property Crime,164646
21.0,Violent Crime,74359
22.0,Property Crime,62019
22.0,Violent Crime,30435
23.0,Property Crime,76121
23.0,Violent Crime,22400
24.0,Property Crime,206422
24.0,Violent Crime,100005
25.0,Property Crime,84038
25.0,Violent Crime,31984
26.0,Property Crime,93041
26.0,Violent Crime,40404
27.0,Property Crime,223946
27.0,Violent Crime,79537
28.0,Property Crime,246070
28.0,Violent Crime,114592
29.0,Property Crime,120067
29.0,Violent Crime,61443
30.0,Property Crime,75421
30.0,Violent Crime,30118
31.0,Property Crime,77822
31.0,Violent Crime,29579
32.0,Property Crime,109002
32.0,Violent Crime,19790
33.0,Property Crime,57912
33.0,Violent Crime,21309
34.0,Property Crime,149505
34.0,Violent Crime,70683
35.0,Property Crime,75464
35.0,Violent Crime,27839
36.0,Property Crime,66323
36.0,Violent Crime,20818
37.0,Property Crime,146076
37.0,Violent Crime,67357
38.0,Property Crime,61657
38.0,Violent Crime,19242
39.0,Property Crime,56682
39.0,Violent Crime,17879
40.0,Property Crime,62998
40.0,Violent Crime,21471
41.0,Property Crime,69720
41.0,Violent Crime,14929
42.0,Property Crime,269168
42.0,Violent Crime,54115
43.0,Property Crime,82426
43.0,Violent Crime,15555
44.0,Property Crime,88779
44.0,Violent Crime,23240
45.0,Property Crime,62722
45.0,Violent Crime,18386
46.0,Property Crime,79854
46.0,Violent Crime,29106
47.0,Property Crime,67496
47.0,Violent Crime,14462
48.0,Property Crime,59625
48.0,Violent Crime,22805
49.0,Property Crime,81691
49.0,Violent Crime,33316
50.0,Property Crime,61734
50.0,Violent Crime,20136
