ward,year,crime_count
1.0,2001,79
1.0,2002,8321
1.0,2003,10358
1.0,2004,9594
1.0,2005,8683
1.0,2006,8315
1.0,2007,8107
1.0,2008,8294
1.0,2009,7726
1.0,2010,7269
1.0,2011,6663
1.0,2012,6267
1.0,2013,5365
1.0,2014,4656
1.0,2015,4551
1.0,2016,5256
1.0,2017,5376
1.0,2018,4841
1.0,2019,4826
1.0,2020,3435
1.0,2021,3374
1.0,2022,4466
1.0,2023,4822
1.0,2024,4922
1.0,2025,4032
1.0,2026,459
2.0,2001,137
2.0,2002,14305
2.0,2003,20089
2.0,2004,19017
2.0,2005,17696
2.0,2006,16911
2.0,2007,16257
2.0,2008,15797
2.0,2009,13649
2.0,2010,13383
2.0,2011,12681
2.0,2012,12340
2.0,2013,11407
2.0,2014,10860
2.0,2015,10675
2.0,2016,11343
2.0,2017,11456
2.0,2018,10092
2.0,2019,5277
2.0,2020,3263
2.0,2021,3511
2.0,2022,3797
2.0,2023,3991
2.0,2024,4320
2.0,2025,3671
2.0,2026,465
3.0,2001,122
3.0,2002,13708
3.0,2003,18524
3.0,2004,17185
3.0,2005,16179
3.0,2006,15485
3.0,2007,12856
3.0,2008,13197
3.0,2009,10849
3.0,2010,9622
3.0,2011,9324
3.0,2012,8628
3.0,2013,8346
3.0,2014,7305
3.0,2015,6696
3.0,2016,7052
3.0,2017,7098
3.0,2018,7020
3.0,2019,7406
3.0,2020,6274
3.0,2021,6214
3.0,2022,7471
3.0,2023,7309
3.0,2024,6823
3.0,2025,6143
3.0,2026,827
4.0,2001,79
4.0,2002,7383
4.0,2003,9247
4.0,2004,9484
4.0,2005,9510
4.0,2006,8258
4.0,2007,8820
4.0,2008,7485
4.0,2009,6590
4.0,2010,6425
4.0,2011,6049
4.0,2012,5396
4.0,2013,4917
4.0,2014,4614
4.0,2015,4611
4.0,2016,5055
4.0,2017,5193
4.0,2018,5591
4.0,2019,6994
4.0,2020,5490
4.0,2021,5696
4.0,2022,7850
4.0,2023,8452
4.0,2024,8286
4.0,2025,7863
4.0,2026,986
5.0,2001,101
5.0,2002,8119
5.0,2003,10972
5.0,2004,11222
5.0,2005,11195
5.0,2006,10649
5.0,2007,10427
5.0,2008,9984
5.0,2009,9233
5.0,2010,9078
5.0,2011,8661
5.0,2012,8429
5.0,2013,7726
5.0,2014,6503
5.0,2015,6333
5.0,2016,6007
5.0,2017,6228
5.0,2018,6350
5.0,2019,5929
5.0,2020,5289
5.0,2021,5307
5.0,2022,6171
5.0,2023,6345
5.0,2024,5894
5.0,2025,6029
5.0,2026,793
6.0,2001,112
6.0,2002,9972
6.0,2003,14017
6.0,2004,14719
6.0,2005,14494
6.0,2006,14333
6.0,2007,14586
6.0,2008,14434
6.0,2009,12892
6.0,2010,12344
6.0,2011,11593
6.0,2012,11485
6.0,2013,10498
6.0,2014,8818
6.0,2015,8947
6.0,2016,8716
6.0,2017,8616
6.0,2018,8898
6.0,2019,9794
6.0,2020,8624
6.0,2021,8066
6.0,2022,8597
6.0,2023,9969
6.0,2024,9571
6.0,2025,8936
6.0,2026,1050
7.0,2001,109
7.0,2002,8699
7.0,2003,11868
7.0,2004,12024
7.0,2005,11594
7.0,2006,12168
7.0,2007,12055
7.0,2008,11604
7.0,2009,10998
7.0,2010,9737
7.0,2011,9885
7.0,2012,9172
7.0,2013,8243
7.0,2014,7821
7.0,2015,7597
7.0,2016,6906
7.0,2017,6886
7.0,2018,6978
7.0,2019,7577
7.0,2020,6535
7.0,2021,6419
7.0,2022,7606
7.0,2023,7949
7.0,2024,7349
7.0,2025,6889
7.0,2026,786
8.0,2001,106
8.0,2002,8606
8.0,2003,12070
8.0,2004,12280
8.0,2005,11807
8.0,2006,12111
8.0,2007,12508
8.0,2008,11999
8.0,2009,10473
8.0,2010,9901
8.0,2011,9626
8.0,2012,9230
8.0,2013,8670
8.0,2014,7987
